   freq [Hz]          Ohm  Phase [deg]
  465.000000     5.398739    15.368694
  466.000000     5.401030    15.414837
  467.000000     5.403438    15.457088
  468.000000     5.405797    15.500026
  469.000000     5.408027    15.541248
  470.000000     5.410383    15.585022
  471.000000     5.412588    15.624965
  472.000000     5.414764    15.671671
  473.000000     5.417327    15.709902
  474.000000     5.419569    15.750353
  475.000000     5.421302    15.793320
  476.000000     5.423438    15.831362
  477.000000     5.425569    15.877659
  478.000000     5.427258    15.922708
  479.000000     5.427647    15.951008
  480.000000     5.432852    16.039515
  481.000000     5.434345    16.050776
  482.000000     5.436864    16.091326
  483.000000     5.439361    16.134687
  484.000000     5.441525    16.177394
  485.000000     5.444202    16.215573
  486.000000     5.446312    16.255305
  487.000000     5.448841    16.294498
  488.000000     5.451099    16.336044
  489.000000     5.453284    16.375503
  490.000000     5.455621    16.417146
  491.000000     5.457810    16.457538
  492.000000     5.460130    16.497667
  493.000000     5.462499    16.539986
  494.000000     5.464704    16.579092
  495.000000     5.466897    16.619939
  496.000000     5.469155    16.661671
  497.000000     5.471601    16.703591
  498.000000     5.473915    16.745658
  499.000000     5.476264    16.784682
  500.000000     5.478671    16.828453
  501.000000     5.481163    16.868607
  502.000000     5.483577    16.909004
  503.000000     5.486378    16.951625
  504.000000     5.488804    16.986568
  505.000000     5.491213    17.023575
  506.000000     5.493404    17.061995
  507.000000     5.495296    17.102829
  508.000000     5.497845    17.143492
  509.000000     5.500107    17.185565
  510.000000     5.502469    17.224445
  511.000000     5.505032    17.270028
  512.000000     5.507732    17.305413
  513.000000     5.510087    17.348508
  514.000000     5.512818    17.388491
  515.000000     5.515462    17.427595
  516.000000     5.518209    17.466537
  517.000000     5.520736    17.503495
  518.000000     5.523317    17.544698
  519.000000     5.525930    17.581221
  520.000000     5.528662    17.619587
  521.000000     5.530974    17.657381
  522.000000     5.533932    17.697681
  523.000000     5.536370    17.733179
  524.000000     5.539074    17.771427
  525.000000     5.542143    17.807781
  526.000000     5.544248    17.843163
  527.000000     5.547085    17.877543
  528.000000     5.549447    17.916560
  529.000000     5.552174    17.951569
  530.000000     5.554604    17.987779
  531.000000     5.557339    18.025388
  532.000000     5.559638    18.058533
  533.000000     5.562560    18.096051
  534.000000     5.564698    18.131999
  535.000000     5.567246    18.166621
  536.000000     5.569975    18.206131
  537.000000     5.572394    18.241811
  538.000000     5.574942    18.274220
  539.000000     5.577489    18.315399
  540.000000     5.579873    18.348479
  541.000000     5.582616    18.388662
  542.000000     5.585310    18.421899
  543.000000     5.587798    18.458245
  544.000000     5.590354    18.495066
  545.000000     5.593179    18.531159
  546.000000     5.595951    18.566930
  547.000000     5.598714    18.600509
  548.000000     5.601558    18.633566
  549.000000     5.603973    18.668249
  550.000000     5.606742    18.699269
  551.000000     5.609214    18.735479
  552.000000     5.611713    18.769101
  553.000000     5.614268    18.802709
  554.000000     5.616894    18.839581
  555.000000     5.619315    18.872409
  556.000000     5.622010    18.907092
  557.000000     5.624594    18.945143
  558.000000     5.627098    18.975204
  559.000000     5.629770    19.013074
  560.000000     5.632439    19.050874
  561.000000     5.635533    19.082163
  562.000000     5.638171    19.116704
  563.000000     5.641039    19.149385
  564.000000     5.643768    19.181825
  565.000000     5.646583    19.213449
  566.000000     5.649289    19.242483
  567.000000     5.651580    19.273629
  568.000000     5.653891    19.306902
  569.000000     5.656399    19.339110
  570.000000     5.658845    19.373860
  571.000000     5.661109    19.409050
  572.000000     5.663900    19.445239
  573.000000     5.666477    19.479078
  574.000000     5.669121    19.519300
  575.000000     5.672404    19.551826
  576.000000     5.675433    19.587204
  577.000000     5.678012    19.616475
  578.000000     5.681201    19.649091
  579.000000     5.683798    19.681881
  580.000000     5.686628    19.714459
  581.000000     5.689556    19.744018
  582.000000     5.691988    19.776880
  583.000000     5.695206    19.811219
  584.000000     5.697931    19.842322
  585.000000     5.700922    19.872362
  586.000000     5.703715    19.905910
  587.000000     5.706890    19.936462
  588.000000     5.709697    19.963830
  589.000000     5.712378    19.996627
  590.000000     5.715363    20.025079
  591.000000     5.718220    20.056238
  592.000000     5.721116    20.084725
  593.000000     5.723899    20.115300
  594.000000     5.727005    20.145732
  595.000000     5.730135    20.171943
  596.000000     5.732965    20.199201
  597.000000     5.736029    20.224074
  598.000000     5.738496    20.252641
  599.000000     5.741247    20.278501
  600.000000     5.744439    20.303612
  601.000000     5.746843    20.327837
  602.000000     5.749013    20.350270
  603.000000     5.751269    20.377610
  604.000000     5.753438    20.405650
  605.000000     5.755656    20.436808
  606.000000     5.757941    20.465892
  607.000000     5.760719    20.499453
  608.000000     5.763327    20.528748
  609.000000     5.766081    20.556790
  610.000000     5.768941    20.583721
  611.000000     5.771311    20.609440
  612.000000     5.773369    20.636661
  613.000000     5.775664    20.666438
  614.000000     5.777994    20.698852
  615.000000     5.780222    20.728542
  616.000000     5.782877    20.763505
  617.000000     5.785101    20.795786
  618.000000     5.788349    20.829203
  619.000000     5.790911    20.858964
  620.000000     5.793783    20.891331
  621.000000     5.796765    20.921065
  622.000000     5.799672    20.953907
  623.000000     5.802776    20.980930
  624.000000     5.805898    21.009418
  625.000000     5.808750    21.035594
  626.000000     5.811420    21.065131
  627.000000     5.814620    21.091706
  628.000000     5.817203    21.116907
  629.000000     5.819971    21.151637
  630.000000     5.823326    21.175032
  631.000000     5.825974    21.200522
  632.000000     5.828925    21.229742
  633.000000     5.831716    21.257960
  634.000000     5.834977    21.281802
  635.000000     5.837971    21.308894
  636.000000     5.841073    21.333133
  637.000000     5.844434    21.353983
  638.000000     5.847236    21.371333
  639.000000     5.850088    21.379565
  640.000000     5.851056    21.415425
  641.000000     5.853709    21.428550
  642.000000     5.856170    21.462096
  643.000000     5.857895    21.486075
  644.000000     5.860413    21.518447
  645.000000     5.863434    21.552146
  646.000000     5.866420    21.578054
  647.000000     5.869332    21.602443
  648.000000     5.872446    21.624957
  649.000000     5.874699    21.646894
  650.000000     5.877184    21.671610
  651.000000     5.879184    21.695945
  652.000000     5.881752    21.723901
  653.000000     5.884415    21.753733
  654.000000     5.886891    21.779188
  655.000000     5.889314    21.807472
  656.000000     5.892441    21.835350
  657.000000     5.894978    21.863324
  658.000000     5.897692    21.887348
  659.000000     5.900280    21.920008
  660.000000     5.903650    21.946403
  661.000000     5.906591    21.971722
  662.000000     5.909693    21.998016
  663.000000     5.912967    22.019475
  664.000000     5.916090    22.041065
  665.000000     5.918372    22.062406
  666.000000     5.921478    22.083877
  667.000000     5.923821    22.110013
  668.000000     5.927010    22.134552
  669.000000     5.929830    22.158300
  670.000000     5.933116    22.178520
  671.000000     5.935849    22.199832
  672.000000     5.938913    22.214837
  673.000000     5.940797    22.236917
  674.000000     5.943448    22.257710
  675.000000     5.946027    22.281024
  676.000000     5.948370    22.305692
  677.000000     5.951439    22.327853
  678.000000     5.954359    22.346466
  679.000000     5.957153    22.365441
  680.000000     5.959030    22.379839
  681.000000     5.961492    22.401255
  682.000000     5.963289    22.426400
  683.000000     5.965951    22.449348
  684.000000     5.968575    22.473820
  685.000000     5.971443    22.494123
  686.000000     5.973993    22.513070
  687.000000     5.976296    22.527533
  688.000000     5.977968    22.549161
  689.000000     5.980006    22.570583
  690.000000     5.981929    22.596595
  691.000000     5.983964    22.623843
  692.000000     5.986505    22.651687
  693.000000     5.989435    22.676624
  694.000000     5.991801    22.700831
  695.000000     5.994869    22.725124
  696.000000     5.997464    22.746522
  697.000000     6.000234    22.767412
  698.000000     6.002982    22.788528
  699.000000     6.005315    22.805172
  700.000000     6.007826    22.827039
  701.000000     6.009724    22.848660
  702.000000     6.012418    22.868511
  703.000000     6.014516    22.893074
  704.000000     6.016755    22.915721
  705.000000     6.019568    22.940292
  706.000000     6.022131    22.959894
  707.000000     6.024143    22.982461
  708.000000     6.026961    23.004699
  709.000000     6.029477    23.026473
  710.000000     6.031898    23.046218
  711.000000     6.034051    23.065557
  712.000000     6.036636    23.087127
  713.000000     6.038546    23.110099
  714.000000     6.041345    23.128849
  715.000000     6.043113    23.153959
  716.000000     6.045917    23.174881
  717.000000     6.048365    23.199495
  718.000000     6.051354    23.218794
  719.000000     6.053580    23.235679
  720.000000     6.055999    23.255984
  721.000000     6.058509    23.275493
  722.000000     6.060593    23.294942
  723.000000     6.063222    23.314454
  724.000000     6.065446    23.334591
  725.000000     6.067686    23.347857
  726.000000     6.069738    23.369833
  727.000000     6.071569    23.387369
  728.000000     6.073532    23.405304
  729.000000     6.074883    23.427997
  730.000000     6.076880    23.452459
  731.000000     6.078403    23.473951
  732.000000     6.080530    23.503241
  733.000000     6.082681    23.528856
  734.000000     6.084942    23.553702
  735.000000     6.087810    23.576955
  736.000000     6.089940    23.592525
  737.000000     6.091809    23.617773
  738.000000     6.093536    23.639401
  739.000000     6.095846    23.667953
  740.000000     6.098000    23.694485
  741.000000     6.100574    23.723623
  742.000000     6.103622    23.751150
  743.000000     6.106773    23.773143
  744.000000     6.109773    23.793823
  745.000000     6.113010    23.809147
  746.000000     6.114934    23.826308
  747.000000     6.117876    23.838802
  748.000000     6.119656    23.857060
  749.000000     6.121538    23.873359
  750.000000     6.123132    23.889761
  751.000000     6.124823    23.913183
  752.000000     6.126679    23.936400
  753.000000     6.128399    23.956814
  754.000000     6.130167    23.982456
  755.000000     6.131927    24.007482
  756.000000     6.134235    24.037724
  757.000000     6.136602    24.061508
  758.000000     6.138778    24.087587
  759.000000     6.141813    24.113126
  760.000000     6.144102    24.133705
  761.000000     6.146314    24.157463
  762.000000     6.148809    24.179994
  763.000000     6.151460    24.203031
  764.000000     6.153596    24.223894
  765.000000     6.156063    24.243314
  766.000000     6.157931    24.267780
  767.000000     6.160615    24.287572
  768.000000     6.162469    24.313145
  769.000000     6.164870    24.330891
  770.000000     6.167217    24.361463
  771.000000     6.169750    24.377758
  772.000000     6.171886    24.404437
  773.000000     6.174731    24.427155
  774.000000     6.177191    24.445832
  775.000000     6.179453    24.468936
  776.000000     6.182088    24.488298
  777.000000     6.184308    24.509255
  778.000000     6.186283    24.528104
  779.000000     6.188349    24.550478
  780.000000     6.190231    24.577124
  781.000000     6.192997    24.599741
  782.000000     6.195391    24.626484
  783.000000     6.197850    24.643002
  784.000000     6.200186    24.667496
  785.000000     6.202763    24.686053
  786.000000     6.204433    24.711466
  787.000000     6.207044    24.733857
  788.000000     6.209931    24.760229
  789.000000     6.212066    24.780020
  790.000000     6.214938    24.798926
  791.000000     6.217218    24.822632
  792.000000     6.219503    24.844924
  793.000000     6.221814    24.865284
  794.000000     6.224552    24.888184
  795.000000     6.226833    24.912036
  796.000000     6.229314    24.929067
  797.000000     6.231747    24.954583
  798.000000     6.233979    24.975104
  799.000000     6.234856    24.987893
  800.000000     6.240073    25.037582
  801.000000     6.241857    25.038536
  802.000000     6.244584    25.053463
  803.000000     6.246729    25.072172
  804.000000     6.249150    25.097149
  805.000000     6.251808    25.113753
  806.000000     6.253949    25.126426
  807.000000     6.255996    25.151722
  808.000000     6.258025    25.174115
  809.000000     6.260799    25.194711
  810.000000     6.263003    25.215790
  811.000000     6.265407    25.237117
  812.000000     6.267474    25.259434
  813.000000     6.270294    25.282173
  814.000000     6.272774    25.301173
  815.000000     6.274556    25.320390
  816.000000     6.277251    25.346342
  817.000000     6.279635    25.367838
  818.000000     6.282443    25.389785
  819.000000     6.284817    25.410619
  820.000000     6.287607    25.429029
  821.000000     6.290263    25.450102
  822.000000     6.292830    25.468374
  823.000000     6.295256    25.483128
  824.000000     6.297306    25.501984
  825.000000     6.299438    25.524095
  826.000000     6.302162    25.546339
  827.000000     6.304361    25.565302
  828.000000     6.307134    25.584353
  829.000000     6.309297    25.602421
  830.000000     6.311518    25.624345
  831.000000     6.314088    25.642748
  832.000000     6.316089    25.661984
  833.000000     6.318405    25.682022
  834.000000     6.320856    25.702607
  835.000000     6.323160    25.722802
  836.000000     6.325184    25.741027
  837.000000     6.327472    25.762027
  838.000000     6.329998    25.785850
  839.000000     6.332304    25.803760
  840.000000     6.334421    25.827102
  841.000000     6.337268    25.850769
  842.000000     6.339602    25.865031
  843.000000     6.341750    25.892366
  844.000000     6.344500    25.913678
  845.000000     6.347122    25.933061
  846.000000     6.349695    25.953385
  847.000000     6.352141    25.973629
  848.000000     6.354880    25.992967
  849.000000     6.357403    26.011013
  850.000000     6.359962    26.030420
  851.000000     6.362186    26.051295
  852.000000     6.365311    26.068032
  853.000000     6.367432    26.084974
  854.000000     6.369662    26.106618
  855.000000     6.372138    26.127682
  856.000000     6.374902    26.146218
  857.000000     6.377150    26.169581
  858.000000     6.380222    26.183977
